MAKE,MODEL,GRADE,CHASSIS NO,STOCK_ID,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02683,02683,WHITE,,1500,114567,201903.0,JAPAN,0,,2019,TOYOTA PROBOX
ISUZU,ELF,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01911,01911,WHITE,,3000,622689,201909.0,JAPAN,0,,2019,ISUZU ELF
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",53925,53925,WHITE,,1500,65081,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",52803,52803,WHITE,,1500,74925,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",35303,35303,WHITE,,1500,59075,201912.0,JAPAN,0,,2019,TOYOTA SUCCEED
TOYOTA,AXIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",39679,39679,WHITE,,1500,76013,202012.0,JAPAN,0,,2020,TOYOTA AXIO
NISSAN,MARCH,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",87857,87857,SILVER,,1200,54170,201909.0,JAPAN,0,,2019,NISSAN MARCH
LEXUS,LX570,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",03963,03963,BLACK,,5700,25280,201904.0,JAPAN,0,,2019,LEXUS LX570
MERCEDEZ BENZ,GLA220,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",78525,78525,BLUE,,2000,73504,201903.0,JAPAN,0,,2019,MERCEDEZ BENZ GLA220
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",95627,95627,BLACK,,4600,16720,201909.0,JAPAN,0,,2019,TOYOTA LANDCRUSIER
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",33998,33998,WHITE,,1500,111980,201912.0,JAPAN,0,,2019,TOYOTA PROBOX
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",15765,15765,BLACK,,1500,89908,202001.0,JAPAN,0,,2020,TOYOTA SUCCEED
SUZUKI,LANDY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02186,02186,BLACK,,2000,116238,201907.0,JAPAN,0,,2019,SUZUKI LANDY
PORSCHE,CAYENNE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",13539,13539,PEARL,,3000,87370,201906.0,JAPAN,0,,2019,PORSCHE CAYENNE
HONDA,VEZEL,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",35695,35695,BLACK,,1500,39913,201902.0,JAPAN,0,,2019,HONDA VEZEL
MERCEDEZ BENZ,GLA220,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",08700,08700,BLACK,,2000,57044,201904.0,JAPAN,0,,2019,MERCEDEZ BENZ GLA220
TOYOTA,RAIZE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",09018,09018,SILVER,,1000,91001,202002.0,JAPAN,0,,2020,TOYOTA RAIZE
TOYOTA,LANDCRUISER 250,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",18576,18576,BROWN,,2700,12434,202412.0,JAPAN,0,,2024,TOYOTA LANDCRUISER 250
MERCEDEZ BENZ,GLE400,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",72076,72076,GREY,,3000,64428,202011.0,JAPAN,0,,2020,MERCEDEZ BENZ GLE400
TOYOTA,PROBOX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",27446,27446,SILVER,,1500,132890,202012.0,JAPAN,0,,2020,TOYOTA PROBOX
TOYOTA,SIENTA,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",92170,92170,BLACK,,1500,101048,201902.0,JAPAN,0,,2019,TOYOTA SIENTA
TOYOTA,ESQUIRE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",77274,77274,WHITE,,2000,94405,202012.0,JAPAN,0,,2020,TOYOTA ESQUIRE
PORSCHE,CAYENNE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41528,41528,GREY,,3000,85258,202012.0,JAPAN,0,,2020,PORSCHE CAYENNE
HONDA,CBR600RR,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",00517,00517,RED & BLUE,,600,15329,202000.0,JAPAN,0,,2020,HONDA CBR600RR
LANDROVER,RANGE ROVER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",48549,48549,BLACK,,3000,24277,202304.0,JAPAN,0,,2023,LANDROVER RANGE ROVER
BMW,G310GS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",81562,81562,BLUE,,313,10218,202000.0,JAPAN,0,,2020,BMW G310GS
BMW,G310R,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",16871,16871,WHITE,,310,9229,202100.0,JAPAN,0,,2021,BMW G310R
LANDROVER,RANGE ROVER,"{'grade_uuid': 'a07ed516-4f81-4c10-b0bf-8696874ae5ab', 'grade': 'EVOQUE'}",34280,34280,GREY,,2000,81076,201910.0,JAPAN,0,,2019,LANDROVER RANGE ROVER
VOLVO,XC90,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",69915,69915,BEIGE,,2000,52965,201902.0,JAPAN,0,,2019,VOLVO XC90
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",14980,14980,BLACK,,2400,42142,202001.0,JAPAN,0,,2020,TOYOTA HILUX
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",12013,12013,BLACK,,2400,33087,201907.0,JAPAN,0,,2019,TOYOTA HILUX
SUZUKI,SWIFT,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",23996,23996,GREY,,1400,65953,201907.0,JAPAN,0,,2019,SUZUKI SWIFT
TOYOTA,RAIZE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",02200,02200,PEARL,,1000,49232,201911.0,JAPAN,0,,2019,TOYOTA RAIZE
AUDI,Q7,N/A,03405,03405,WHITE,,2000,62108,201907.0,JAPAN,0,,2019,AUDI Q7
NISSAN,NV200,N/A,34534,34534,SILVER,,1600,95463,201902.0,JAPAN,0,,2019,NISSAN NV200
MITSUBISHI FUSO,CANTER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",80895,80895,WHITE,,3000,254177,201912.0,JAPAN,0,,2019,MITSUBISHI FUSO CANTER
MAZDA,DEMIO,N/A,28599,28599,WHITE,,1500,115010,201910.0,JAPAN,0,,2019,MAZDA DEMIO
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",29198,29198,WHITE,,1500,92281,201912.0,JAPAN,0,,2019,MAZDA DEMIO
MAZDA,CX-8,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",17148,17148,PEARL,,2200,60096,201911.0,JAPAN,0,,2019,MAZDA CX-8
BMW,X2,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",64006,64006,WHITE,,2000,88645,201903.0,JAPAN,0,,2019,BMW X2
BMW,330i,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",25475,25475,BLUE,,2000,91840,202011.0,JAPAN,0,,2020,BMW 330i
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",11621,11621,BLACK,,2400,60798,201906.0,JAPAN,0,,2019,TOYOTA HILUX
SUZUKI,WAGON R,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",19506,19506,SILVER,,660,130890,201912.0,JAPAN,0,,2019,SUZUKI WAGON R
TOYOTA,ESQUIRE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",22011,22011,BLACK,,2000,102282,201904.0,JAPAN,0,,2019,TOYOTA ESQUIRE
DAIHATSU,ROCKY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",17442,17442,BLUE,,1000,94363,202007.0,JAPAN,0,,2020,DAIHATSU ROCKY
PORSCHE,CAYENNE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41728,41728,WHITE,,3000,92107,202012.0,JAPAN,0,,2020,PORSCHE CAYENNE
TOYOTA,VOXY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",22387,22387,BLACK,,2000,117151,201904.0,JAPAN,0,,2019,TOYOTA VOXY
AUDI,Q5,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",99010,99010,BLUE,,2000,70217,201911.0,JAPAN,0,,2019,AUDI Q5
TOYOTA,HILUX,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",10666,10666,BLACK,,2400,86578,201904.0,JAPAN,0,,2019,TOYOTA HILUX
TOYOTA,VOXY,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",16313,16313,BLACK,,2000,121768,201901.0,JAPAN,0,,2019,TOYOTA VOXY
MERCEDEZ BENZ,S450,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",22569,22569,WHITE,,3000,107023,201903.0,JAPAN,0,,2019,MERCEDEZ BENZ S450
TOYOTA,VELLFIRE,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",62074,62074,PEARL,,2500,119261,201907.0,JAPAN,0,,2019,TOYOTA VELLFIRE
SUBARU,IMPREZA,"{'grade_uuid': 'a07ed516-501d-4ea7-9ca1-63fbee33902f', 'grade': 'XV'}",71991,71991,BLACK,,2000,148772,201805.0,NAIROBI,0,,2018,SUBARU IMPREZA
BMW,320I,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",90654,90654,BLUE,,2000,115225,201903.0,JAPAN,0,,2019,BMW 320I
LANDROVER,RANGE ROVER,"{'grade_uuid': 'a07ed516-4f81-4c10-b0bf-8696874ae5ab', 'grade': 'EVOQUE'}",01383,01383,WHITE,,2000,50700,201908.0,JAPAN,0,,2019,LANDROVER RANGE ROVER
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",10592,10592,SILVER,,1500,30725,201901.0,JAPAN,0,,2019,MAZDA DEMIO
TOYOTA,YARIS CROSS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01306,01306,BLUE,,1500,33152,202011.0,JAPAN,0,,2020,TOYOTA YARIS CROSS
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",17503,17503,WHITE,,1500,167656,202003.0,JAPAN,0,,2020,TOYOTA SUCCEED
